timestamp,activeOrders, sells,buys, digest

Mon Mar 09 22:17:33 GMT 2015 , 4 , 2 , 2 , 8717 : { BUY 2.314145@0.003457} 8722 : { BUY 1.410121@0.003457} 8724 : { SELL 3.0@0.003488} 8728 : { SELL 3.0@0.003488} 
Mon Mar 09 22:19:43 GMT 2015 , 4 , 2 , 2 , 8759 : { BUY 2.314145@0.003457} 8762 : { BUY 1.410023@0.003457} 8763 : { SELL 3.0@0.003488} 8766 : { SELL 3.0@0.003488} 
Mon Mar 09 22:21:53 GMT 2015 , 4 , 2 , 2 , 8780 : { BUY 2.314145@0.003457} 8784 : { BUY 1.410058@0.003457} 8786 : { SELL 3.0@0.003488} 8788 : { SELL 3.0@0.003488} 
Mon Mar 09 22:26:13 GMT 2015 , 4 , 2 , 2 , 8806 : { BUY 2.314145@0.003457} 8809 : { BUY 1.410058@0.003457} 8810 : { SELL 3.0@0.003488} 8813 : { SELL 3.0@0.003488} 
Mon Mar 09 22:28:23 GMT 2015 , 4 , 2 , 2 , 8827 : { SELL 3.0@0.003489} 8829 : { SELL 3.0@0.003489} 8830 : { BUY 2.313476@0.003458} 8832 : { BUY 1.409682@0.003458} 
Mon Mar 09 22:30:33 GMT 2015 , 4 , 2 , 2 , 8850 : { BUY 2.313476@0.003458} 8854 : { BUY 1.409367@0.003458} 8855 : { SELL 3.0@0.003489} 8857 : { SELL 3.0@0.003489} 
Mon Mar 09 22:32:43 GMT 2015 , 4 , 2 , 2 , 8850 : { BUY 2.313476@0.003458} 8854 : { BUY 1.409367@0.003458} 8855 : { SELL 3.0@0.003489} 8857 : { SELL 3.0@0.003489} 
Mon Mar 09 22:34:53 GMT 2015 , 4 , 2 , 2 , 8874 : { SELL 3.0@0.00349} 8878 : { SELL 3.0@0.00349} 8880 : { BUY 2.313476@0.003458} 8884 : { BUY 1.409367@0.003458} 
Mon Mar 09 22:37:03 GMT 2015 , 4 , 2 , 2 , 8896 : { SELL 3.0@0.00349} 8900 : { SELL 3.0@0.00349} 8901 : { BUY 2.312807@0.003459} 8905 : { BUY 1.408896@0.003459} 
Mon Mar 09 22:41:23 GMT 2015 , 4 , 2 , 2 , 8919 : { BUY 2.312807@0.003459} 8921 : { BUY 1.408708@0.003459} 8922 : { SELL 3.0@0.00349} 8924 : { SELL 3.0@0.00349} 
Mon Mar 09 22:43:33 GMT 2015 , 4 , 2 , 2 , 8941 : { SELL 3.0@0.003512} 8945 : { SELL 3.0@0.003512} 8947 : { BUY 2.298851@0.00348} 8950 : { BUY 1.400207@0.00348} 
Mon Mar 09 22:45:43 GMT 2015 , 4 , 2 , 2 , 8967 : { BUY 2.298851@0.00348} 8969 : { BUY 1.39471@0.00348} 8970 : { SELL 3.0@0.003512} 8972 : { SELL 3.0@0.003512} 
Mon Mar 09 22:47:53 GMT 2015 , 4 , 2 , 2 , 8967 : { BUY 2.298851@0.00348} 8969 : { BUY 1.39471@0.00348} 8970 : { SELL 3.0@0.003512} 8972 : { SELL 3.0@0.003512} 
Mon Mar 09 22:50:03 GMT 2015 , 4 , 2 , 2 , 8983 : { BUY 2.302158@0.003475} 8985 : { BUY 1.396717@0.003475} 8987 : { SELL 3.0@0.003506} 8991 : { SELL 3.0@0.003506} 
Mon Mar 09 22:52:13 GMT 2015 , 4 , 2 , 2 , 9007 : { BUY 2.321532@0.003446} 9011 : { BUY 1.409869@0.003446} 9013 : { SELL 3.0@0.003477} 9017 : { SELL 3.0@0.003477} 
Mon Mar 09 22:56:33 GMT 2015 , 4 , 2 , 2 , 9027 : { SELL 3.0@0.003541} 9029 : { SELL 3.0@0.003541} 9030 : { BUY 2.279852@0.003509} 9031 : { BUY 1.392058@0.003509} 
Mon Mar 09 22:58:43 GMT 2015 , 4 , 2 , 2 , 9042 : { BUY 2.294894@0.003486} 9045 : { BUY 1.384733@0.003486} 9046 : { SELL 3.0@0.003518} 9050 : { SELL 3.0@0.003518} 
Mon Mar 09 23:00:53 GMT 2015 , 4 , 2 , 2 , 9062 : { BUY 2.29819@0.003481} 9066 : { BUY 1.392789@0.003481} 9068 : { SELL 3.0@0.003512} 9073 : { SELL 3.0@0.003512} 
Mon Mar 09 23:05:13 GMT 2015 , 4 , 2 , 2 , 9088 : { BUY 2.29819@0.003481} 9091 : { BUY 1.39412@0.003481} 9093 : { SELL 3.0@0.003512} 9095 : { SELL 3.0@0.003512} 
Mon Mar 09 23:07:24 GMT 2015 , 4 , 2 , 2 , 9104 : { BUY 2.304147@0.003472} 9108 : { BUY 1.397733@0.003472} 9109 : { SELL 3.0@0.003503} 9112 : { SELL 3.0@0.003503} 
Mon Mar 09 23:09:33 GMT 2015 , 4 , 2 , 2 , 9129 : { BUY 2.304147@0.003472} 9135 : { BUY 1.400104@0.003472} 9137 : { SELL 3.0@0.003503} 9139 : { SELL 3.0@0.003503} 
