message,level,source,method,time
Setting up  NuBot version : 0.1.5b,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:12.882 UTC
Init logging system,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:12.904 UTC
Set up SSL certificates,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:12.906 UTC
Load options from 1 files : /tmp/tmpLRRfbv,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:12.907 UTC
Wrap the keys into a new ApiKeys object,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:12.908 UTC
Creating an Exchange object,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:12.909 UTC
Create e ExchangeLiveData object to accomodate liveData from the exchange,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:12.923 UTC
Create a new TradeInterface object,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:12.924 UTC
Swapped pair mode : false,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:12.925 UTC
Create a TaskManager ,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:12.926 UTC
Starting task : Check connection with exchange,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:12.935 UTC
Waiting  a for the connectionThreads to detect connection,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:12.936 UTC
Configuring NuBot for Dual-Side strategy,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:15.943 UTC
Start trading Strategy specific for nbtbtc,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:15.945 UTC
