timestamp,activeOrders, sells,buys, digest

Mon Mar 09 22:11:05 GMT 2015 , 0 , 0 , 0 , 
Mon Mar 09 22:13:15 GMT 2015 , 0 , 0 , 0 , 
Mon Mar 09 22:15:25 GMT 2015 , 0 , 0 , 0 , 
Mon Mar 09 22:17:35 GMT 2015 , 0 , 0 , 0 , 
Mon Mar 09 22:19:45 GMT 2015 , 0 , 0 , 0 , 
Mon Mar 09 22:21:55 GMT 2015 , 2 , 2 , 0 , 117365397 : { SELL 2.5@0.00349516} 117365464 : { SELL 2.5@0.00349516} 
Mon Mar 09 22:26:15 GMT 2015 , 2 , 2 , 0 , 117366888 : { SELL 2.5@0.00349516} 117366934 : { SELL 2.5@0.00349516} 
Mon Mar 09 22:28:25 GMT 2015 , 2 , 2 , 0 , 117368589 : { SELL 2.5@0.00349637} 117368648 : { SELL 2.5@0.00349637} 
Mon Mar 09 22:30:35 GMT 2015 , 2 , 2 , 0 , 117370201 : { SELL 2.5@0.00349637} 117370272 : { SELL 2.5@0.00349637} 
Mon Mar 09 22:32:45 GMT 2015 , 2 , 2 , 0 , 117370201 : { SELL 2.5@0.00349637} 117370272 : { SELL 2.5@0.00349637} 
Mon Mar 09 22:34:55 GMT 2015 , 2 , 2 , 0 , 117371895 : { SELL 2.5@0.00349637} 117371949 : { SELL 2.5@0.00349637} 
Mon Mar 09 22:37:05 GMT 2015 , 2 , 2 , 0 , 117373673 : { SELL 2.5@0.00349734} 117373720 : { SELL 2.5@0.00349734} 
Mon Mar 09 22:41:25 GMT 2015 , 2 , 2 , 0 , 117375232 : { SELL 2.5@0.003518} 117375305 : { SELL 2.5@0.003518} 
Mon Mar 09 22:43:35 GMT 2015 , 2 , 2 , 0 , 117376938 : { SELL 2.5@0.00351874} 117377001 : { SELL 2.5@0.00351874} 
Mon Mar 09 22:45:45 GMT 2015 , 2 , 2 , 0 , 117378577 : { SELL 2.5@0.00351333} 117378643 : { SELL 2.5@0.00351333} 
Mon Mar 09 22:47:55 GMT 2015 , 2 , 2 , 0 , 117378577 : { SELL 2.5@0.00351333} 117378643 : { SELL 2.5@0.00351333} 
Mon Mar 09 22:50:05 GMT 2015 , 2 , 2 , 0 , 117380133 : { SELL 2.5@0.00351333} 117380201 : { SELL 2.5@0.00351333} 
Mon Mar 09 22:52:15 GMT 2015 , 2 , 2 , 0 , 117381567 : { SELL 2.5@0.00351911} 117381622 : { SELL 2.5@0.00351911} 
Mon Mar 09 22:54:25 GMT 2015 , 2 , 2 , 0 , 117383098 : { SELL 2.5@0.00354826} 117383136 : { SELL 2.5@0.00354826} 
Mon Mar 09 22:56:35 GMT 2015 , 2 , 2 , 0 , 117383098 : { SELL 2.5@0.00354826} 117383136 : { SELL 2.5@0.00354826} 
